model_name,prompt_type,case_id,repeat_id,dataset,ground_truth,prediction,confidence,is_correct,response_time_sec,prompt_tokens,completion_tokens,total_tokens,raw_response,error,timestamp
gpt-5-mini,system1,83,0,y_arrestedafter2002,False,NO,80,True,4.660559177398682,239,473,712,"{
  ""prediction"": ""NO"",
  ""confidence"": 80
}",,2026-02-15T09:20:58.626484
gpt-5-mini,system1,53,0,y_arrestedafter2002,False,YES,82,False,3.207058906555176,249,402,651,"{""prediction"":""YES"",""confidence"":82}",,2026-02-15T09:21:03.287567
gpt-5-mini,system1,70,0,y_arrestedafter2002,False,NO,78,True,4.0656468868255615,241,473,714,"{
  ""prediction"": ""NO"",
  ""confidence"": 78
}",,2026-02-15T09:21:06.494900
gpt-5-mini,system1,45,0,y_arrestedafter2002,True,YES,80,True,4.035147666931152,248,473,721,"{
  ""prediction"": ""YES"",
  ""confidence"": 80
}",,2026-02-15T09:21:10.560787
gpt-5-mini,system1,44,0,y_arrestedafter2002,False,NO,70,True,3.9214589595794678,241,530,771,"{""prediction"":""NO"",""confidence"":70}",,2026-02-15T09:21:14.596911
gpt-5-mini,system1,39,0,y_arrestedafter2002,False,NO,75,True,5.547936916351318,251,594,845,"{""prediction"":""NO"",""confidence"":75}",,2026-02-15T09:21:18.518701
gpt-5-mini,system1,22,0,y_arrestedafter2002,False,YES,90,False,3.0955188274383545,244,402,646,"{""prediction"":""YES"",""confidence"":90}",,2026-02-15T09:21:24.069755
gpt-5-mini,system1,80,0,y_arrestedafter2002,False,YES,72,False,4.426079988479614,240,537,777,"{
  ""prediction"": ""YES"",
  ""confidence"": 72
}",,2026-02-15T09:21:27.165811
gpt-5-mini,system1,10,0,y_arrestedafter2002,False,YES,78,False,3.843562126159668,245,472,717,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-15T09:21:31.592108
gpt-5-mini,system1,0,0,y_arrestedafter2002,True,YES,88,True,3.1803228855133057,241,402,643,"{""prediction"":""YES"",""confidence"":88}",,2026-02-15T09:21:35.436075
gpt-5-mini,system1,18,0,y_arrestedafter2002,False,NO,78,True,4.1681809425354,240,530,770,"{""prediction"":""NO"",""confidence"":78}",,2026-02-15T09:21:38.616549
gpt-5-mini,system1,30,0,y_arrestedafter2002,True,YES,75,True,3.6468911170959473,246,473,719,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-15T09:21:42.784978
gpt-5-mini,system1,73,0,y_arrestedafter2002,False,YES,80,False,3.4972779750823975,232,337,569,"{""prediction"":""YES"",""confidence"":80}",,2026-02-15T09:21:46.432349
gpt-5-mini,system1,33,0,y_arrestedafter2002,False,NO,75,True,3.6942996978759766,250,473,723,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-15T09:21:49.929869
gpt-5-mini,system1,90,0,y_arrestedafter2002,False,YES,78,False,4.147023916244507,242,472,714,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-15T09:21:53.624415
gpt-5-mini,system1,4,0,y_arrestedafter2002,False,YES,72,False,3.0206308364868164,250,338,588,"{""prediction"":""YES"",""confidence"":72}",,2026-02-15T09:21:57.771634
gpt-5-mini,system1,76,0,y_arrestedafter2002,False,YES,78,False,4.162851810455322,250,402,652,"{""prediction"":""YES"",""confidence"":78}",,2026-02-15T09:22:00.792541
gpt-5-mini,system1,77,0,y_arrestedafter2002,True,YES,80,True,2.894652843475342,238,338,576,"{""prediction"":""YES"",""confidence"":80}",,2026-02-15T09:22:04.956106
gpt-5-mini,system1,12,0,y_arrestedafter2002,False,YES,85,False,4.02502703666687,246,402,648,"{""prediction"":""YES"",""confidence"":85}",,2026-02-15T09:22:07.851112
gpt-5-mini,system1,31,0,y_arrestedafter2002,True,YES,85,True,3.8856430053710938,241,409,650,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-15T09:22:11.877307
gpt-5-mini,system1,55,0,y_arrestedafter2002,False,YES,92,False,3.2207388877868652,247,345,592,"{
  ""prediction"": ""YES"",
  ""confidence"": 92
}",,2026-02-15T09:22:15.763205
gpt-5-mini,system1,88,0,y_arrestedafter2002,True,NO,75,False,4.8864970207214355,242,536,778,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-15T09:22:18.984273
gpt-5-mini,system1,26,0,y_arrestedafter2002,False,YES,80,False,3.94669508934021,250,473,723,"{
  ""prediction"": ""YES"",
  ""confidence"": 80
}",,2026-02-15T09:22:23.872451
gpt-5-mini,system1,42,0,y_arrestedafter2002,True,YES,70,True,5.055984973907471,241,472,713,"{
  ""prediction"": ""YES"",
  ""confidence"": 70
}",,2026-02-15T09:22:27.819539
gpt-5-mini,system1,69,0,y_arrestedafter2002,False,NO,78,True,4.059081792831421,244,473,717,"{
  ""prediction"": ""NO"",
  ""confidence"": 78
}",,2026-02-15T09:22:32.875775
gpt-5-mini,system1,15,0,y_arrestedafter2002,False,YES,78,False,3.5084421634674072,242,409,651,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-15T09:22:36.935978
gpt-5-mini,system1,40,0,y_arrestedafter2002,False,NO,80,True,3.468714952468872,233,466,699,"{""prediction"":""NO"",""confidence"":80}",,2026-02-15T09:22:40.444837
gpt-5-mini,system1,96,0,y_arrestedafter2002,False,YES,78,False,3.381258010864258,242,472,714,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-15T09:22:43.913777
gpt-5-mini,system1,9,0,y_arrestedafter2002,False,YES,70,False,6.768872976303101,239,594,833,"{""prediction"":""YES"",""confidence"":70}",,2026-02-15T09:22:47.296011
gpt-5-mini,system1,72,0,y_arrestedafter2002,False,NO,75,True,3.718648910522461,241,466,707,"{""prediction"":""NO"",""confidence"":75}",,2026-02-15T09:22:54.072411
gpt-5-mini,system1,11,0,y_arrestedafter2002,False,YES,82,False,3.639369010925293,241,402,643,"{""prediction"":""YES"",""confidence"":82}",,2026-02-15T09:22:57.792194
gpt-5-mini,system1,47,0,y_arrestedafter2002,True,YES,80,True,2.8648290634155273,246,338,584,"{""prediction"":""YES"",""confidence"":80}",,2026-02-15T09:23:01.431875
gpt-5-mini,system1,85,0,y_arrestedafter2002,False,YES,78,False,3.4354498386383057,238,345,583,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-15T09:23:04.296890
