model_name,prompt_type,case_id,repeat_id,dataset,ground_truth,prediction,confidence,is_correct,response_time_sec,prompt_tokens,completion_tokens,total_tokens,raw_response,error,timestamp
xai/grok-4-1-fast-non-reasoning-latest,system1,27,0,y_arrestedafter2002,True,YES,78,True,0.4800572395324707,400,16,416,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-09T21:55:45.277327
xai/grok-4-1-fast-non-reasoning-latest,system1,16,0,y_arrestedafter2002,False,YES,78,False,0.5520899295806885,401,16,417,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-09T21:55:45.757582
xai/grok-4-1-fast-non-reasoning-latest,system1,12,0,y_arrestedafter2002,False,YES,72,False,0.36614012718200684,405,16,421,"{
  ""prediction"": ""YES"",
  ""confidence"": 72
}",,2026-02-09T21:55:46.310172
xai/grok-4-1-fast-non-reasoning-latest,system1,22,0,y_arrestedafter2002,True,YES,88,True,0.4292638301849365,401,16,417,"{
  ""prediction"": ""YES"",
  ""confidence"": 88
}",,2026-02-09T21:55:46.676586
xai/grok-4-1-fast-non-reasoning-latest,system1,8,0,y_arrestedafter2002,False,YES,72,False,0.8280067443847656,405,16,421,"{
  ""prediction"": ""YES"",
  ""confidence"": 72
}",,2026-02-09T21:55:47.106166
xai/grok-4-1-fast-non-reasoning-latest,system1,9,0,y_arrestedafter2002,False,YES,78,False,0.42308688163757324,409,16,425,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-09T21:55:47.934386
xai/grok-4-1-fast-non-reasoning-latest,system1,21,0,y_arrestedafter2002,False,YES,72,False,0.4584951400756836,396,16,412,"{
  ""prediction"": ""YES"",
  ""confidence"": 72
}",,2026-02-09T21:55:48.357715
xai/grok-4-1-fast-non-reasoning-latest,system1,0,0,y_arrestedafter2002,True,YES,88,True,0.5691230297088623,408,16,424,"{
  ""prediction"": ""YES"",
  ""confidence"": 88
}",,2026-02-09T21:55:48.816668
xai/grok-4-1-fast-non-reasoning-latest,system1,26,0,y_arrestedafter2002,False,YES,78,False,0.4263181686401367,397,16,413,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-09T21:55:49.386381
xai/grok-4-1-fast-non-reasoning-latest,system1,13,0,y_arrestedafter2002,False,NO,78,True,0.4984467029571533,406,16,422,"{
  ""prediction"": ""NO"",
  ""confidence"": 78
}",,2026-02-09T21:55:49.813655
xai/grok-4-1-fast-non-reasoning-latest,system1,15,0,y_arrestedafter2002,True,YES,78,True,0.4270172119140625,404,16,420,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-09T21:55:50.312614
xai/grok-4-1-fast-non-reasoning-latest,system1,11,0,y_arrestedafter2002,False,YES,78,False,0.4125337600708008,399,16,415,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-09T21:55:50.740169
xai/grok-4-1-fast-non-reasoning-latest,system1,17,0,y_arrestedafter2002,False,YES,78,False,0.5298709869384766,401,16,417,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-09T21:55:51.153042
xai/grok-4-1-fast-non-reasoning-latest,system1,1,0,y_arrestedafter2002,False,YES,68,False,0.41705799102783203,403,16,419,"{
  ""prediction"": ""YES"",
  ""confidence"": 68
}",,2026-02-09T21:55:51.683111
xai/grok-4-1-fast-non-reasoning-latest,system1,4,0,y_arrestedafter2002,False,YES,78,False,0.45532989501953125,405,16,421,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-09T21:55:52.100398
xai/grok-4-1-fast-non-reasoning-latest,system1,5,0,y_arrestedafter2002,True,YES,88,True,0.44301700592041016,402,16,418,"{
  ""prediction"": ""YES"",
  ""confidence"": 88
}",,2026-02-09T21:55:52.556200
xai/grok-4-1-fast-non-reasoning-latest,system1,2,0,y_arrestedafter2002,False,YES,78,False,8.285367012023926,395,16,411,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-09T21:55:52.999716
xai/grok-4-1-fast-non-reasoning-latest,system1,24,0,y_arrestedafter2002,False,YES,78,False,0.4077901840209961,401,16,417,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-09T21:56:01.285323
xai/grok-4-1-fast-non-reasoning-latest,system1,3,0,y_arrestedafter2002,False,YES,82,False,0.4688570499420166,400,16,416,"{
  ""prediction"": ""YES"",
  ""confidence"": 82
}",,2026-02-09T21:56:01.693574
xai/grok-4-1-fast-non-reasoning-latest,system1,23,0,y_arrestedafter2002,False,NO,78,True,0.4279899597167969,397,16,413,"{
  ""prediction"": ""NO"",
  ""confidence"": 78
}",,2026-02-09T21:56:02.163554
xai/grok-4-1-fast-non-reasoning-latest,system1,25,0,y_arrestedafter2002,True,YES,82,True,0.45439791679382324,405,16,421,"{
  ""prediction"": ""YES"",
  ""confidence"": 82
}",,2026-02-09T21:56:02.592067
xai/grok-4-1-fast-non-reasoning-latest,system1,18,0,y_arrestedafter2002,False,YES,82,False,0.4297800064086914,398,16,414,"{
  ""prediction"": ""YES"",
  ""confidence"": 82
}",,2026-02-09T21:56:03.046872
