experiment,dataset,model,n_debates,mean_flips_per_debate,std_flips_per_debate,max_flips,overall_flip_rate,initial_final_agreement_rate,persuasion_change_count,persuasion_change_rate
transcripts_ver26_compas_20260209-114748,compas,gpt_4o_mini,1,4.0000,0.0000,4,0.6667,1.0000,0,0.0000
transcripts_ver26_compas_20260209-124320,compas,gemini_gemini_2_5_flash,150,0.2867,0.7334,4,0.0480,0.8533,22,0.1467
transcripts_ver26_compas_20260209-124320,compas,gpt_4_1_mini,150,0.9333,1.6918,5,0.1556,0.8933,16,0.1067
transcripts_ver26_compas_20260209-124320,compas,gpt_4o_mini,150,0.7400,1.3973,5,0.1235,0.8667,20,0.1333
transcripts_ver26_compas_20260209-124320,compas,xai_grok_4_1_fast_non_reasoning_latest,150,1.6333,2.2254,6,0.2722,0.7933,31,0.2067
transcripts_ver26_compas_20260209-161924,compas,openrouter_allenai_olmo_2_0325_32b_instruct,150,2.2933,1.9615,6,0.3822,0.7200,42,0.2800
transcripts_ver26_compas_20260209-161924,compas,openrouter_google_gemma_2_9b_it,150,0.5067,0.9147,4,0.1016,0.6600,51,0.3400
transcripts_ver26_compas_20260209-161924,compas,openrouter_meta_llama_llama_3_1_8b_instruct,150,1.3867,1.7389,6,0.2324,0.8800,18,0.1200
transcripts_ver26_compas_20260209-161924,compas,openrouter_microsoft_phi_4,150,2.1667,1.9508,5,0.3611,0.4200,87,0.5800
transcripts_ver26_compas_20260209-161924,compas,openrouter_mistralai_mistral_7b_instruct,150,1.3800,1.5606,5,0.2303,0.7400,39,0.2600
transcripts_ver26_compas_20260209-161924,compas,openrouter_qwen_qwen_2_5_7b_instruct,150,1.9067,1.9777,6,0.3206,0.7867,32,0.2133
transcripts_ver26_nlsy97_20260209-124319,nlsy97,gemini_gemini_2_5_flash,145,1.2276,1.5120,5,0.2070,0.7793,32,0.2207
transcripts_ver26_nlsy97_20260209-124319,nlsy97,gpt_4_1_mini,145,2.8828,2.0223,6,0.4805,0.6552,50,0.3448
transcripts_ver26_nlsy97_20260209-124319,nlsy97,gpt_4o_mini,145,1.7655,1.4763,5,0.2943,0.6966,44,0.3034
transcripts_ver26_nlsy97_20260209-124319,nlsy97,xai_grok_4_1_fast_non_reasoning_latest,145,2.7103,2.5241,6,0.4517,0.8000,29,0.2000
transcripts_ver26_nlsy97_20260209-161924,nlsy97,openrouter_allenai_olmo_2_0325_32b_instruct,145,3.5655,1.8111,6,0.5943,0.6759,47,0.3241
transcripts_ver26_nlsy97_20260209-161924,nlsy97,openrouter_google_gemma_2_9b_it,145,1.6483,1.4694,5,0.3806,0.3103,100,0.6897
transcripts_ver26_nlsy97_20260209-161924,nlsy97,openrouter_meta_llama_llama_3_1_8b_instruct,145,1.6966,1.7314,6,0.2828,0.6138,56,0.3862
transcripts_ver26_nlsy97_20260209-161924,nlsy97,openrouter_microsoft_phi_4,145,3.4000,1.6708,6,0.5667,0.2207,113,0.7793
transcripts_ver26_nlsy97_20260209-161924,nlsy97,openrouter_mistralai_mistral_7b_instruct,145,1.7586,1.6621,6,0.2934,0.5517,65,0.4483
transcripts_ver26_nlsy97_20260209-161924,nlsy97,openrouter_qwen_qwen_2_5_7b_instruct,145,3.5724,1.5211,6,0.5954,0.7103,42,0.2897
