model_name,case_id,repeat_id,dataset,prediction,confidence,ground_truth,n_judge_opinions
gpt-5-mini,0,1,compas,YES,70.0,True,6
gpt-5-mini,0,2,compas,YES,70.0,True,6
gpt-5-mini,0,3,compas,YES,70.0,True,6
gpt-5-mini,10,1,compas,NO,65.0,False,6
gpt-5-mini,10,2,compas,NO,65.0,False,6
gpt-5-mini,10,3,compas,NO,60.0,False,6
gpt-5-mini,11,1,compas,NO,80.0,False,6
gpt-5-mini,11,2,compas,NO,80.0,False,6
gpt-5-mini,11,3,compas,NO,80.0,False,6
gpt-5-mini,12,1,compas,YES,65.0,False,6
gpt-5-mini,12,2,compas,YES,65.0,False,6
gpt-5-mini,12,3,compas,YES,60.0,False,6
gpt-5-mini,13,1,compas,NO,88.0,False,6
gpt-5-mini,13,2,compas,NO,85.0,False,6
gpt-5-mini,13,3,compas,NO,90.0,False,6
gpt-5-mini,14,1,compas,NO,65.0,True,6
gpt-5-mini,14,2,compas,YES,65.0,True,6
gpt-5-mini,14,3,compas,NO,65.0,True,6
gpt-5-mini,15,1,compas,NO,90.0,False,6
gpt-5-mini,15,2,compas,NO,90.0,False,6
gpt-5-mini,15,3,compas,NO,88.0,False,6
gpt-5-mini,16,1,compas,YES,60.0,True,6
gpt-5-mini,16,2,compas,YES,65.0,True,6
gpt-5-mini,16,3,compas,YES,70.0,True,6
gpt-5-mini,17,1,compas,NO,75.0,True,6
gpt-5-mini,17,2,compas,NO,65.0,True,6
gpt-5-mini,17,3,compas,NO,65.0,True,6
gpt-5-mini,18,1,compas,NO,70.0,True,6
gpt-5-mini,18,2,compas,NO,75.0,True,6
gpt-5-mini,18,3,compas,NO,75.0,True,6
gpt-5-mini,19,1,compas,NO,85.0,False,6
gpt-5-mini,19,2,compas,NO,80.0,False,6
gpt-5-mini,19,3,compas,NO,85.0,False,6
gpt-5-mini,1,1,compas,YES,70.0,True,6
gpt-5-mini,1,2,compas,YES,75.0,True,6
gpt-5-mini,1,3,compas,YES,70.0,True,6
gpt-5-mini,20,1,compas,NO,75.0,False,6
gpt-5-mini,20,2,compas,NO,75.0,False,6
gpt-5-mini,20,3,compas,NO,80.0,False,6
gpt-5-mini,21,1,compas,NO,65.0,True,6
gpt-5-mini,21,2,compas,NO,65.0,True,6
gpt-5-mini,21,3,compas,NO,75.0,True,6
gpt-5-mini,22,1,compas,NO,75.0,True,6
gpt-5-mini,22,2,compas,NO,80.0,True,6
gpt-5-mini,22,3,compas,NO,75.0,True,6
gpt-5-mini,23,1,compas,NO,65.0,True,6
gpt-5-mini,23,2,compas,NO,60.0,True,6
gpt-5-mini,23,3,compas,NO,60.0,True,6
gpt-5-mini,24,1,compas,YES,75.0,True,6
gpt-5-mini,24,2,compas,YES,75.0,True,6
gpt-5-mini,24,3,compas,YES,70.0,True,6
gpt-5-mini,25,1,compas,NO,90.0,False,6
