model_name,prompt_type,case_id,mv_prediction,ground_truth,n_reps,n_valid,yes_votes,no_votes,mv_correct
gemini/gemini-2.5-flash,system1,0,YES,True,3,3,3,0,True
gemini/gemini-2.5-flash,system1,1,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,2,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,3,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,4,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,5,NO,False,2,2,1,1,True
gemini/gemini-2.5-flash,system1,6,NO,False,2,2,0,2,True
gemini/gemini-2.5-flash,system1,7,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,8,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,9,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,10,YES,False,3,3,3,0,False
gemini/gemini-2.5-flash,system1,11,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,12,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,13,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,14,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,15,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,16,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,17,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,18,NO,False,3,3,1,2,True
gemini/gemini-2.5-flash,system1,19,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,20,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,21,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,22,YES,False,3,3,3,0,False
gemini/gemini-2.5-flash,system1,23,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,24,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,25,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,26,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,27,NO,False,2,2,0,2,True
gemini/gemini-2.5-flash,system1,28,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,29,NO,False,2,2,0,2,True
gemini/gemini-2.5-flash,system1,30,YES,True,3,3,3,0,True
gemini/gemini-2.5-flash,system1,31,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,32,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,33,YES,False,3,3,3,0,False
gemini/gemini-2.5-flash,system1,34,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,35,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,36,NO,False,2,2,1,1,True
gemini/gemini-2.5-flash,system1,37,NO,False,2,2,1,1,True
gemini/gemini-2.5-flash,system1,38,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,39,YES,False,3,3,3,0,False
gemini/gemini-2.5-flash,system1,40,NO,False,2,2,0,2,True
gemini/gemini-2.5-flash,system1,41,NO,False,2,2,1,1,True
gemini/gemini-2.5-flash,system1,42,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,43,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,44,NO,False,3,3,0,3,True
gemini/gemini-2.5-flash,system1,45,YES,True,3,3,3,0,True
gemini/gemini-2.5-flash,system1,46,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,47,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,48,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,49,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,50,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,51,NO,False,2,2,0,2,True
gemini/gemini-2.5-flash,system1,52,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,53,YES,False,3,3,3,0,False
gemini/gemini-2.5-flash,system1,54,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,55,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,56,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,57,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,58,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,59,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,60,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,61,NO,False,2,2,0,2,True
gemini/gemini-2.5-flash,system1,62,YES,False,2,2,1,1,False
gemini/gemini-2.5-flash,system1,63,YES,False,2,2,2,0,False
