model_name,prompt_type,case_id,repeat_id,dataset,ground_truth,prediction,confidence,is_correct,response_time_sec,prompt_tokens,completion_tokens,total_tokens,raw_response,error,timestamp
xai/grok-4-1-fast-non-reasoning-latest,system1,27,0,two_year_recid,True,YES,68,True,0.5116889476776123,316,16,332,"{
  ""prediction"": ""YES"",
  ""confidence"": 68
}",,2026-02-09T21:55:44.231594
xai/grok-4-1-fast-non-reasoning-latest,system1,15,0,two_year_recid,True,NO,78,False,0.4547131061553955,315,16,331,"{
  ""prediction"": ""NO"",
  ""confidence"": 78
}",,2026-02-09T21:55:44.743473
xai/grok-4-1-fast-non-reasoning-latest,system1,23,0,two_year_recid,False,YES,92,False,0.49770593643188477,315,16,331,"{
  ""prediction"": ""YES"",
  ""confidence"": 92
}",,2026-02-09T21:55:45.198348
xai/grok-4-1-fast-non-reasoning-latest,system1,17,0,two_year_recid,False,NO,82,True,0.9495010375976562,315,16,331,"{
  ""prediction"": ""NO"",
  ""confidence"": 82
}",,2026-02-09T21:55:45.696419
xai/grok-4-1-fast-non-reasoning-latest,system1,8,0,two_year_recid,True,YES,72,True,0.4446091651916504,316,16,332,"{
  ""prediction"": ""YES"",
  ""confidence"": 72
}",,2026-02-09T21:55:46.646272
xai/grok-4-1-fast-non-reasoning-latest,system1,9,0,two_year_recid,True,YES,95,True,0.6077470779418945,316,16,332,"{
  ""prediction"": ""YES"",
  ""confidence"": 95
}",,2026-02-09T21:55:47.091306
xai/grok-4-1-fast-non-reasoning-latest,system1,28,0,two_year_recid,False,YES,78,False,0.3972022533416748,316,16,332,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-09T21:55:47.699386
xai/grok-4-1-fast-non-reasoning-latest,system1,24,0,two_year_recid,False,NO,95,True,0.496204137802124,315,16,331,"{
  ""prediction"": ""NO"",
  ""confidence"": 95
}",,2026-02-09T21:55:48.096786
xai/grok-4-1-fast-non-reasoning-latest,system1,12,0,two_year_recid,False,YES,68,False,0.38229799270629883,316,16,332,"{
  ""prediction"": ""YES"",
  ""confidence"": 68
}",,2026-02-09T21:55:48.593176
xai/grok-4-1-fast-non-reasoning-latest,system1,0,0,two_year_recid,False,YES,72,False,0.5508191585540771,315,16,331,"{
  ""prediction"": ""YES"",
  ""confidence"": 72
}",,2026-02-09T21:55:48.975974
xai/grok-4-1-fast-non-reasoning-latest,system1,4,0,two_year_recid,True,YES,68,True,0.49977898597717285,316,16,332,"{
  ""prediction"": ""YES"",
  ""confidence"": 68
}",,2026-02-09T21:55:49.527018
xai/grok-4-1-fast-non-reasoning-latest,system1,16,0,two_year_recid,True,YES,95,True,0.4227731227874756,316,16,332,"{
  ""prediction"": ""YES"",
  ""confidence"": 95
}",,2026-02-09T21:55:50.027118
xai/grok-4-1-fast-non-reasoning-latest,system1,5,0,two_year_recid,False,NO,98,True,0.46706104278564453,316,16,332,"{
  ""prediction"": ""NO"",
  ""confidence"": 98
}",,2026-02-09T21:55:50.450099
xai/grok-4-1-fast-non-reasoning-latest,system1,13,0,two_year_recid,True,YES,78,True,0.4725940227508545,315,16,331,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-09T21:55:50.917343
xai/grok-4-1-fast-non-reasoning-latest,system1,11,0,two_year_recid,True,YES,92,True,0.45773983001708984,316,16,332,"{
  ""prediction"": ""YES"",
  ""confidence"": 92
}",,2026-02-09T21:55:51.390238
xai/grok-4-1-fast-non-reasoning-latest,system1,22,0,two_year_recid,False,NO,92,True,0.4074580669403076,315,16,331,"{
  ""prediction"": ""NO"",
  ""confidence"": 92
}",,2026-02-09T21:55:51.848225
xai/grok-4-1-fast-non-reasoning-latest,system1,1,0,two_year_recid,False,NO,95,True,0.4636709690093994,315,16,331,"{
  ""prediction"": ""NO"",
  ""confidence"": 95
}",,2026-02-09T21:55:52.255883
xai/grok-4-1-fast-non-reasoning-latest,system1,2,0,two_year_recid,False,NO,92,True,0.4894101619720459,315,16,331,"{
  ""prediction"": ""NO"",
  ""confidence"": 92
}",,2026-02-09T21:55:52.719786
xai/grok-4-1-fast-non-reasoning-latest,system1,25,0,two_year_recid,True,YES,88,True,0.5149939060211182,315,16,331,"{
  ""prediction"": ""YES"",
  ""confidence"": 88
}",,2026-02-09T21:55:53.209515
xai/grok-4-1-fast-non-reasoning-latest,system1,3,0,two_year_recid,True,YES,82,True,0.47025299072265625,315,16,331,"{
  ""prediction"": ""YES"",
  ""confidence"": 82
}",,2026-02-09T21:55:53.725125
xai/grok-4-1-fast-non-reasoning-latest,system1,21,0,two_year_recid,False,YES,82,False,0.41452717781066895,316,16,332,"{
  ""prediction"": ""YES"",
  ""confidence"": 82
}",,2026-02-09T21:55:54.195798
xai/grok-4-1-fast-non-reasoning-latest,system1,26,0,two_year_recid,True,YES,92,True,0.5096981525421143,316,16,332,"{
  ""prediction"": ""YES"",
  ""confidence"": 92
}",,2026-02-09T21:55:54.610566
xai/grok-4-1-fast-non-reasoning-latest,system1,18,0,two_year_recid,False,YES,78,False,0.47146010398864746,316,16,332,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-09T21:55:55.120556
xai/grok-4-1-fast-non-reasoning-latest,system1,29,0,two_year_recid,True,YES,92,True,0.37560391426086426,316,16,332,"{
  ""prediction"": ""YES"",
  ""confidence"": 92
}",,2026-02-09T21:55:55.592364
xai/grok-4-1-fast-non-reasoning-latest,system1,20,0,two_year_recid,True,NO,82,False,0.47940802574157715,315,16,331,"{
  ""prediction"": ""NO"",
  ""confidence"": 82
}",,2026-02-09T21:55:55.968313
xai/grok-4-1-fast-non-reasoning-latest,system1,7,0,two_year_recid,False,NO,95,True,0.46972012519836426,315,16,331,"{
  ""prediction"": ""NO"",
  ""confidence"": 95
}",,2026-02-09T21:55:56.448142
xai/grok-4-1-fast-non-reasoning-latest,system1,10,0,two_year_recid,False,NO,98,True,0.3914058208465576,316,16,332,"{
  ""prediction"": ""NO"",
  ""confidence"": 98
}",,2026-02-09T21:55:56.918273
